Speak not thou in thine heart, after that the ____ thy God hath cast them out from before thee, saying, For my righteousness the ____ hath brought me in to possess this land: but for the wickedness of these nations the ____ doth drive them out from before thee.	LORD
And he delivered them into the hands of the Gibeonites, and they hanged them in the hill before the ____: and they fell all seven together, and were put to death in the days of harvest, in the first days, in the beginning of barley harvest.	LORD
And Moses spake before the ____, saying, Behold, the children of Israel have not hearkened unto me; how then shall Pharaoh hear me, who am of uncircumcised lips?	LORD
These six things doth the ____ hate: yea, seven are an abomination unto him:	LORD
And Benaiah came to the tabernacle of the ____, and said unto him, Thus saith the king, Come forth. And he said, Nay; but I will die here. And Benaiah brought the king word again, saying, Thus said Joab, and thus he answered me.	LORD
For my thoughts are not your thoughts, neither are your ways my ways, saith the ____.	LORD
And whiles I was speaking, and praying, and confessing my sin and the sin of my people Israel, and presenting my supplication before the ____ my God for the holy mountain of my God;	LORD
But if ye will not obey the voice of the ____, but rebel against the commandment of the ____, then shall the hand of the ____ be against you, as it was against your fathers.	LORD
Thus saith the ____ of hosts; Behold, I will break the bow of Elam, the chief of their might.	LORD
For the ____ giveth wisdom: out of his mouth cometh knowledge and understanding.	LORD
And he said, They were my brethren, even the sons of my mother: as the ____ liveth, if ye had saved them alive, I would not slay you.	LORD
As thou didst rejoice at the inheritance of the house of Israel, because it was desolate, so will I do unto thee: thou shalt be desolate, O mount Seir, and all Idumea, even all of it: and they shall know that I am the ____.	LORD
Quicken me, O ____, for thy name's sake: for thy righteousness' sake bring my soul out of trouble.	LORD
Again in the ninth year, in the tenth month, in the tenth day of the month, the word of the ____ came unto me, saying,	LORD
Yet hear the word of the ____, O Zedekiah king of Judah; Thus saith the ____ of thee, Thou shalt not die by the sword:	LORD
But when he was strong, his heart was lifted up to his destruction: for he transgressed against the ____ his God, and went into the temple of the ____ to burn incense upon the altar of incense.	LORD
But this shall be the covenant that I will make with the house of Israel; After those days, saith the ____, I will put my law in their inward parts, and write it in their hearts; and will be their God, and they shall be my people.	LORD
That then the ____ thy God will turn thy captivity, and have compassion upon thee, and will return and gather thee from all the nations, whither the ____ thy God hath scattered thee.	LORD
And the ____ answered me, and said, Write the vision, and make it plain upon tables, that he may run that readeth it.	LORD
And Jonathan answered and said to Adonijah, Verily our ____ king David hath made Solomon king.	LORD
For it was so, when Jezebel cut off the prophets of the ____, that Obadiah took an hundred prophets, and hid them by fifty in a cave, and fed them with bread and water.)	LORD
And the priest shall make an atonement for the soul that sinneth ignorantly, when he sinneth by ignorance before the ____, to make an atonement for him; and it shall be forgiven him.	LORD
The horse is prepared against the day of battle: but safety is of the ____.	LORD
____, where are thy former lovingkindnesses, which thou swarest unto David in thy truth?	LORD
And God spake unto Moses, and said unto him, I am the ____:	LORD
For by fire and by his sword will the ____ plead with all flesh: and the slain of the ____ shall be many.	LORD
Bless ye the ____, all ye his hosts; ye ministers of his, that do his pleasure.	LORD
Go, and gather the elders of Israel together, and say unto them, The ____ God of your fathers, the God of Abraham, of Isaac, and of Jacob, appeared unto me, saying, I have surely visited you, and seen that which is done to you in Egypt:	LORD
And the children of Israel again did evil in the sight of the ____, when Ehud was dead.	LORD
